"DateTime";"Tweets archivés"
"2017-01-01 01:00:00";3
"2017-01-02 01:00:00";86
"2017-01-03 01:00:00";419
"2017-01-04 01:00:00";268
"2017-01-05 01:00:00";279
"2017-01-06 01:00:00";263
"2017-01-07 01:00:00";102
"2017-01-08 01:00:00";177
"2017-01-09 01:00:00";164
"2017-01-10 01:00:00";347
"2017-01-11 01:00:00";476
"2017-01-12 01:00:00";342
"2017-01-13 01:00:00";182
"2017-01-14 01:00:00";280
"2017-01-15 01:00:00";174
"2017-01-16 01:00:00";140
"2017-01-17 01:00:00";222
"2017-01-18 01:00:00";184
"2017-01-19 01:00:00";272
"2017-01-20 01:00:00";141
"2017-01-21 01:00:00";103
"2017-01-22 01:00:00";227
"2017-01-23 01:00:00";183
"2017-01-24 01:00:00";405
"2017-01-25 01:00:00";939
"2017-01-26 01:00:00";858
"2017-01-27 01:00:00";671
"2017-01-28 01:00:00";431
"2017-01-29 01:00:00";1338
"2017-01-30 01:00:00";520
"2017-01-31 01:00:00";987
"2017-02-01 01:00:00";1512
"2017-02-02 01:00:00";1144
"2017-02-03 01:00:00";717
"2017-02-04 01:00:00";463
"2017-02-05 01:00:00";500
"2017-02-06 01:00:00";2278
"2017-02-07 01:00:00";1382
"2017-02-08 01:00:00";825
"2017-02-09 01:00:00";792
"2017-02-10 01:00:00";604
"2017-02-11 01:00:00";354
"2017-02-12 01:00:00";399
"2017-02-13 01:00:00";421
"2017-02-14 01:00:00";771
"2017-02-15 01:00:00";948
"2017-02-16 01:00:00";926
"2017-02-17 01:00:00";609
"2017-02-18 01:00:00";311
"2017-02-19 01:00:00";304
"2017-02-20 01:00:00";416
"2017-02-21 01:00:00";864
"2017-02-22 01:00:00";432
"2017-02-23 01:00:00";384
"2017-02-24 01:00:00";563
"2017-02-25 01:00:00";370
"2017-02-26 01:00:00";471
"2017-02-27 01:00:00";632
"2017-02-28 01:00:00";368
"2017-03-01 01:00:00";4369
"2017-03-02 01:00:00";2339
"2017-03-03 01:00:00";2140
"2017-03-04 01:00:00";1237
"2017-03-05 01:00:00";2700
"2017-03-06 01:00:00";2115
"2017-03-07 01:00:00";1374
"2017-03-08 01:00:00";975
"2017-03-09 01:00:00";760
"2017-03-10 01:00:00";472
"2017-03-11 01:00:00";433
"2017-03-12 01:00:00";758
"2017-03-13 01:00:00";1516
"2017-03-14 01:00:00";1885
"2017-03-15 01:00:00";1170
"2017-03-16 01:00:00";752
"2017-03-17 01:00:00";820
"2017-03-18 01:00:00";420
"2017-03-19 01:00:00";523
"2017-03-20 01:00:00";2383
"2017-03-21 01:00:00";1668
"2017-03-22 01:00:00";1314
"2017-03-23 01:00:00";2032
"2017-03-24 01:00:00";2398
"2017-03-25 01:00:00";1076
"2017-03-26 01:00:00";868
"2017-03-27 02:00:00";1114
"2017-03-28 02:00:00";9313
"2017-03-29 02:00:00";14882
"2017-03-30 02:00:00";16148
"2017-03-31 02:00:00";16092
"2017-04-01 02:00:00";14496
"2017-04-02 02:00:00";12378
"2017-04-03 02:00:00";29281
"2017-04-04 02:00:00";29266
"2017-04-05 02:00:00";34064
"2017-04-06 02:00:00";34392
"2017-04-07 02:00:00";22215
"2017-04-08 02:00:00";11382
"2017-04-09 02:00:00";18308
"2017-04-10 02:00:00";34619
"2017-04-11 02:00:00";36534
"2017-04-12 02:00:00";28974
"2017-04-13 02:00:00";37071
"2017-04-14 02:00:00";56650
"2017-04-15 02:00:00";46597
"2017-04-16 02:00:00";44091
"2017-04-17 02:00:00";33618
"2017-04-18 02:00:00";47522
"2017-04-19 02:00:00";58705
"2017-04-20 02:00:00";55804
"2017-04-21 02:00:00";82588
"2017-04-22 02:00:00";27217
"2017-04-23 02:00:00";51829
"2017-04-24 02:00:00";41048
"2017-04-25 02:00:00";20017
"2017-04-26 02:00:00";12026
"2017-04-27 02:00:00";9691
"2017-04-28 02:00:00";9369
"2017-04-29 02:00:00";9259
"2017-04-30 02:00:00";9404
"2017-05-01 02:00:00";8508
"2017-05-02 02:00:00";18276
"2017-05-03 02:00:00";10115
"2017-05-04 02:00:00";6499
"2017-05-05 02:00:00";7810
"2017-05-06 02:00:00";6107
"2017-05-07 02:00:00";4560
"2017-05-08 02:00:00";4766
"2017-05-09 02:00:00";4867
"2017-05-10 02:00:00";3154
"2017-05-11 02:00:00";3934
"2017-05-12 02:00:00";3622
"2017-05-13 02:00:00";2568
"2017-05-14 02:00:00";4074
"2017-05-15 02:00:00";2818
"2017-05-16 02:00:00";2438
"2017-05-17 02:00:00";3426
"2017-05-18 02:00:00";2418
"2017-05-19 02:00:00";2129
"2017-05-20 02:00:00";2958
"2017-05-21 02:00:00";4501
"2017-05-22 02:00:00";3931
"2017-05-23 02:00:00";2032
"2017-05-24 02:00:00";5089
"2017-05-25 02:00:00";4613
"2017-05-26 02:00:00";3019
"2017-05-27 02:00:00";1650
"2017-05-28 02:00:00";1751
"2017-05-29 02:00:00";3481
"2017-05-30 02:00:00";4726
"2017-05-31 02:00:00";6454
"2017-06-01 02:00:00";4337
"2017-06-02 02:00:00";1609
"2017-06-03 02:00:00";898
"2017-06-04 02:00:00";821
"2017-06-05 02:00:00";946
"2017-06-06 02:00:00";1477
"2017-06-07 02:00:00";1723
"2017-06-08 02:00:00";1413
"2017-06-09 02:00:00";1866
"2017-06-10 02:00:00";1801
"2017-06-11 02:00:00";2510
"2017-06-12 02:00:00";2461
"2017-06-13 02:00:00";2013
"2017-06-14 02:00:00";1818
"2017-06-15 02:00:00";2101
"2017-06-16 02:00:00";1270
"2017-06-17 02:00:00";650
"2017-06-18 02:00:00";2430
"2017-06-19 02:00:00";1450
"2017-06-20 02:00:00";1369
"2017-06-21 02:00:00";5716
"2017-06-22 02:00:00";2919
"2017-06-23 02:00:00";1782
"2017-06-24 02:00:00";1115
"2017-06-25 02:00:00";1077
"2017-06-26 02:00:00";675
"2017-06-27 02:00:00";1154
"2017-06-28 02:00:00";1637
"2017-06-29 02:00:00";1569
"2017-06-30 02:00:00";1150
"2017-07-01 02:00:00";2219
"2017-07-02 02:00:00";2233
"2017-07-03 02:00:00";2052
"2017-07-04 02:00:00";3301
"2017-07-05 02:00:00";3333
"2017-07-06 02:00:00";1421
"2017-07-07 02:00:00";1498
"2017-07-08 02:00:00";986
"2017-07-09 02:00:00";986
"2017-07-10 02:00:00";883
"2017-07-11 02:00:00";1070
"2017-07-12 02:00:00";956
"2017-07-13 02:00:00";994
"2017-07-14 02:00:00";595
"2017-07-15 02:00:00";595
"2017-07-16 02:00:00";656
"2017-07-17 02:00:00";598
"2017-07-18 02:00:00";838
"2017-07-19 02:00:00";1508
