"date";"text";"title";"permalink";"site name";"queries";"lang";"tone";"platform";"post type";"source name";"author";"screen name";"gender";"avatar";"inferred country";"inferred region";"inferred city";"inferred longitude";"inferred latitude";"inferred country population";"inferred region population";"inferred city population";"declared country";"declared region";"declared city";"declared longitude";"declared latitude";"declared country population";"declared region population";"declared city population";"twitter author id";"twitter verified author";"twitter followers";"twitter retweets";"twitter retweed of";"twitter replies";"twitter likes";"facebook author id";"facebook type";"facebook fans";"facebook likes";"facebook shares";"facebook comments";"facebook last update of the Likes / Shares / Comments";"instagram author id";"instagram followers";"instagram likes";"instagram comments";"instagram last update of the Likes / Comments";"web pagerank";"web inbound links";"web shares on twitter";"web comments";"sinaweibo author ID";"sinaweibo reposts";"sinaweibo repost of";"sinaweibo likes";"sinaweibo comments";"youtube author ID";"youtube views";"youtube likes";"youtube dislikes";"youtube comments";"youtube favourites";"youtube last update of views";"dailymotion author ID";"dailymotion views";"dailymotion comments";"dailymotion last update of views";"reviews Radarly normalized rating";"reviews platform rating";"impressions";"estimated reach";"embedded url";"media type";"media url";"image analysis_People detected";"image analysis_Gender detected";"image analysis_Object(s) and animal(s) detected";"image analysis_Logo(s) detected";"favorite";"keywords";"hashtags";"mentions";"named entities";"story";"topic";"Thématiques";"Personnalités politiques";"Attributs Harris Interactive"
"21/04/2017 12:43:32";"Le début de la soumission de l'Etat c'est Melanchon. ..En digne homme de la gauche complice !";"";"https://www.facebook.com/182693071927233/posts/637541519775717";"http://facebook.com";"Jean-Luc Mélenchon";"fr";"neutral";"Facebook";"post";"";"Irène Geay Conseillère municipale de Fayence - Var";"182693071927233";"F";"http://graph.facebook.com/182693071927233/picture";"fr";"Provence-Alpes-Côte d'Azur";"Nice";"7.26608";"43.70313";"66627602";"4864015";"338620";"xx";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"182693071927233";"";"";"2";"3";"9";"19/10/2017 21:02:01";"";"";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"20/04/2017 18:33:13";"Mélenchon veut interdire le porc dans les cantines scolaires pour qu'il n'y ait plus de problème https://t.co/dj3v9tlnHg";"";"https://twitter.com/ZoeZemour/status/855097030590570496";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"neutral";"Twitter";"post";"";"Zoe Zemour";"ZoeZemour";"F";"https://pbs.twimg.com/profile_images/731251227892273152/onDwKUAw_normal.jpg";"xx";"";"";"";"";"1";"";"";"xx";"";"";"";"";"1";"";"";"591963787";"false";"1488";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1488";"119";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"19/04/2017 10:27:47";"RT @ADeBeynac: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/VV2fU47P6V";"";"https://twitter.com/ZOREIL1945/status/854612477409017858";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"ZOREIL";"ZOREIL1945";"";"https://pbs.twimg.com/profile_images/703197451667140609/BQi087kZ_normal.jpg";"xx";"";"";"";"";"1";"";"";"xx";"";"";"";"";"1";"";"";"2937667860";"false";"1617";"";"https://twitter.com/ADeBeynac/status/853669781127536644";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/ADeBeynac/status/853669781127536644";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1617";"129";"https://rssfla.re/1370806/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme";"";"";"";"";"";"";"no";"";"";"ADeBeynac";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"19/04/2017 09:14:58";"RT @ADeBeynac: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/VV2fU47P6V";"";"https://twitter.com/MickaelSAILOR/status/854594153770078208";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"Mickael SAILOR";"MickaelSAILOR";"M";"https://pbs.twimg.com/profile_images/813810145041981440/KwaX9NmM_normal.jpg";"fr";"Région Pays de la Loire";"Saint-Gilles-Croix-de-Vie";"-1.94561";"46.69761";"66627602";"3482594";"7280";"xx";"";"";"";"";"1";"";"";"1147554114";"false";"3085";"";"https://twitter.com/ADeBeynac/status/853669781127536644";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/ADeBeynac/status/853669781127536644";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3085";"246";"https://rssfla.re/1370806/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme";"";"";"";"";"";"";"no";"";"";"ADeBeynac";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"19/04/2017 09:14:10";"RT @ADeBeynac: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/VV2fU47P6V";"";"https://twitter.com/mselon3/status/854593952976171009";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"MDubourd";"mselon3";"";"https://pbs.twimg.com/profile_images/507892319647825920/sa6BpIZX_normal.jpeg";"fr";"Région Île-de-France";"Paris";"2.3488";"48.85341";"66627602";"11598866";"2138551";"xx";"";"";"";"";"1";"";"";"111858564";"false";"988";"";"https://twitter.com/ADeBeynac/status/853669781127536644";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/ADeBeynac/status/853669781127536644";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"988";"79";"https://rssfla.re/1370806/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme";"";"";"";"";"";"";"no";"";"";"ADeBeynac";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"19/04/2017 09:13:47";"RT @ADeBeynac: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/VV2fU47P6V";"";"https://twitter.com/janyabadi/status/854593857970872320";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"janyabadi";"janyabadi";"";"https://pbs.twimg.com/profile_images/378800000333608925/0f64a743d67e4cc640182d90860bb036_normal.jpeg";"fr";"";"";"2.0";"46.0";"66627602";"";"";"xx";"";"";"";"";"1";"";"";"912028147";"false";"2712";"";"https://twitter.com/ADeBeynac/status/853669781127536644";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/ADeBeynac/status/853669781127536644";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2712";"216";"https://rssfla.re/1370806/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme";"";"";"";"";"";"";"no";"";"";"ADeBeynac";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"19/04/2017 00:47:39";"Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/Tqv6pWn7vr";"";"https://twitter.com/linfononstop/status/854466482125905921";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"post";"";"France Révolution";"linfononstop";"";"https://pbs.twimg.com/profile_images/747899570332409857/0ClKCfHQ_normal.jpg";"xx";"";"";"";"";"1";"";"";"xx";"";"";"";"";"1";"";"";"747898159691665410";"false";"39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"39";"3";"http://france-revolution-investigative-reporter.over-blog.com/2017/04/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-qu-il-n-y-ait-plus-de-probleme.html";"";"";"";"";"";"";"no";"";"";"";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"19/04/2017 00:46:06";"Publié le 18 Avril 2017 par France Révolution
Les musulmans ne veulent pas de porc ? Et hop ! Menu sans viande pour tout le monde. Les musulmans seront contents et la planète s’en portera mieux.
Pas embêté le Mélenchon, qui hait le christianisme et ne veut pas entendre parler, naturellement, de poisson le vendredi… Mais pour les repas sans porc des musulmans, c’est une autre paire de manches…
Mélenchon a donc trouvé la parade. Et l’alibi écologique est pratique.
Bref, tant pis pour ceux qui aiment le porc, tant pis pour ceux qui aiment la viande, tant pis pour la filière porcine et en avant pour habituer nos enfants à ne plus manger de porc, en attendant leur statut de dhimmi officiel.
Et, surtout, tant pis pour l’égalité et la laïcité.
Pour éviter les problèmes posés par les musulmans tout le monde au beurre de cacahuète et aux lentilles…
Présidentielle : Jean-Luc Mélenchon veut des menus sans viande dans les cantines scolaires
Pour Jean-Luc Mélenchon, les menus végétariens seraient une réponse environnementale et une solution pour mettre fin au débat sur les menus de substitution sans porc.
Jean-Luc Mélenchon propose des menus sans viande dans les cantines scolaires, pour répondre à la fois à des questions religieuses et écologiques, explique le candidat de La France insoumise dans l’émission Au Tableau ! qui sera diffusée sur C8 dimanche.
« Bah t’as pas de viande, tu peux t’en passer ». Dans cette émission qui confronte quatre des cinq candidats les mieux placés dans les sondages d’opinion à une « classe » d’élèves de 8 à 12 ans, un garçon explique au candidat de la gauche de la gauche qu’il ne trouve « pas normal » de ne pas avoir une autre viande pour remplacer le porc dans sa cantine. « Bah t’as pas de viande, tu peux t’en passer. Y’a pas besoin de manger de la viande tout le temps », répond Jean-Luc Mélenchon.
« Quand j’étais gamin, une grande partie de mes copains mangeaient pas de porc, à cause de leur religion », explique le candidat, qui a passé les dix premières années de sa vie au Maroc. « Mais après, il faut trouver ce qui permet à tout le monde de vivre bien ensemble, sinon on en finit plus », poursuit le candidat.
Des menus végétariens pour protéger la planète. « Donc moi j’aimerais qu’il y ait des menus végétariens, des menus sans viande parce que la viande ça apporte une chose dont on a besoin ce sont des protéines », explique Jean-Luc Mélenchon à son jeune auditoire. « Les protéines, on peut les avoir autrement que par de la viande, vous avez tous intérêt à le faire, les petits. Parce que dans votre monde, si vous continuez comme on est en train de le faire là, ça va mal finir, parce que les élevages massifs des bêtes qui donnent la viande, ça provoque des dégâts considérables sur la planète ».";"Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème";"http://france-revolution-investigative-reporter.over-blog.com/2017/04/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-qu-il-n-y-ait-plus-de-probleme.html";"http://france-revolution-investigative-reporter.over-blog.com";"Jean-Luc Mélenchon";"fr";"neutral";"Blog";"post";"";"http://france-revolution-investigative-reporter.over-blog.com";"";"";"";"fr";"";"";"";"";"66627602";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"no";"";"";"";"maroc;jean-luc.melenchon;melenchon;viande;alibi.ecologique;france.revolution;laicite;au.tableau;porc;proteines;beurre.de.cacahuete;egalite;environnementale;christianisme;gauche;paire.de.manches;gamin;questions.religieuses;statut.de.dhimmi.officiel;menus.de.substitution.sans.porc;c.8;viande;enfants;classe;debat;sondages.d'.opinion;candidat;porc.des.musulmans;emission;parade;religion;ecologiques;solution;problemes;elevages.massifs.des.betes;copains;filiere.porcine;cantines.scolaires";"30331516-1766-4053-808d-8c34aeec5bd3";"politics.france";"";"";""
"19/04/2017 00:24:24";"j'ai pas suivi ça.... c'est vrai????";"";"https://www.facebook.com/10211381356402308/posts/10211379950407159";"http://facebook.com";"Jean-Luc Mélenchon";"fr";"neutral";"Facebook";"post";"";"Mathieu Salaün";"10211381356402308";"M";"http://graph.facebook.com/10211381356402308/picture";"xx";"";"";"";"";"1";"";"";"xx";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"10211381356402308";"";"";"";"";"";"19/10/2017 04:47:15";"";"";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
"18/04/2017 23:31:22";"RT @PNerval: Mélenchon veut interdire le porc dans les cantines scolaires pour qu’il n’y ait plus de problème https://t.co/IrAVTgzdUF";"";"https://twitter.com/af770/status/854447284188217346";"http://twitter.com";"Jean-Luc Mélenchon";"fr";"negative";"Twitter";"share";"";"AF770";"af770";"";"https://pbs.twimg.com/profile_images/491352495093190656/0UcurKGH_normal.jpeg";"fr";"Région Île-de-France";"Paris";"2.3488";"48.85341";"66627602";"11598866";"2138551";"xx";"";"";"";"";"1";"";"";"521792903";"false";"68";"";"https://twitter.com/PNerval/status/854223279497805824";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"https://twitter.com/PNerval/status/854223279497805824";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"5";"http://resistancerepublicaine.eu/2017/04/16/melenchon-veut-interdire-le-porc-dans-les-cantines-scolaires-pour-quil-ny-ait-plus-de-probleme/";"";"";"";"";"";"";"no";"";"";"PNerval";"";"30331516-1766-4053-808d-8c34aeec5bd3";"";"";"";""
